Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,34.459999,35.580002,32.189999,32.419998,7234900,32.419998
2017-04-21,41.509998,42.950001,41.02,41.209999,4909600,41.209999
2017-04-20,41.889999,43.220001,40.169998,40.880001,5711600,40.880001
2017-04-19,39.82,43.68,39.25,43.099998,5890500,43.099998
2017-04-18,42.830002,44.369999,41.00,41.00,5704200,41.00
2017-04-17,44.93,45.029999,41.830002,41.84,4741600,41.84
2017-04-13,45.110001,47.189999,43.27,46.490002,7217400,46.490002
2017-04-12,44.52,45.720001,43.23,44.799999,6045000,44.799999
2017-04-11,42.73,45.240002,42.09,44.349998,8995200,44.349998
2017-04-10,38.240002,40.68,37.290001,40.68,5885800,40.68
2017-04-07,36.439999,38.169998,35.619999,37.919998,6195500,37.919998
2017-04-06,35.91,36.459999,33.849998,35.400002,6564400,35.400002
2017-04-05,33.689999,36.950001,32.939999,36.740002,5833400,36.740002
2017-04-04,36.34,36.66,34.150002,34.48,4161900,34.48
2017-04-03,35.07,37.93,34.709999,35.389999,5143800,35.389999
2017-03-31,33.919998,35.18,33.470001,35.080002,3484500,35.080002
2017-03-30,33.700001,34.52,33.279999,33.84,3392300,33.84
2017-03-29,33.610001,34.150002,32.900002,33.619999,3340500,33.619999
2017-03-28,37.189999,37.290001,33.75,33.900002,6795600,33.900002
2017-03-27,42.689999,43.200001,37.279999,37.939999,6282400,37.939999
2017-03-24,39.860001,43.200001,38.139999,39.560001,8226600,39.560001
2017-03-23,39.189999,41.490002,37.419998,41.099998,5393100,41.099998
2017-03-22,38.779999,39.880001,37.299999,38.490002,5782800,38.490002
2017-03-21,34.099998,38.779999,33.57,38.07,8485000,38.07
2017-03-20,35.299999,35.470001,34.459999,35.41,3240200,35.41
2017-03-17,35.73,35.869999,34.299999,35.349998,3943600,35.349998
2017-03-16,37.310001,37.549999,36.09,36.279999,5753800,36.279999
2017-03-15,3.99,4.02,3.71,3.78,2063900,37.80
2017-03-14,3.98,4.14,3.92,4.09,1778100,40.900002
2017-03-13,4.08,4.13,3.93,3.95,1102700,39.500001
2017-03-10,4.14,4.27,4.10,4.13,1163600,41.30
2017-03-09,4.23,4.38,4.13,4.24,1353700,42.400002
2017-03-08,4.13,4.31,4.05,4.28,1382300,42.80
2017-03-07,4.22,4.31,4.08,4.22,1189400,42.200001
2017-03-06,4.36,4.41,4.18,4.23,1363600,42.30
2017-03-03,4.54,4.54,4.35,4.40,1444700,44.000001
2017-03-02,4.63,4.75,4.47,4.66,1725600,46.599999
2017-03-01,4.43,4.65,4.37,4.64,2151400,46.400002
2017-02-28,4.66,4.90,4.59,4.85,1610200,48.500001
2017-02-27,4.66,4.74,4.41,4.60,1660300,46.000001
2017-02-24,5.13,5.18,4.63,4.67,2203800,46.700001
2017-02-23,4.55,4.91,4.52,4.78,1794000,47.80
2017-02-22,4.57,4.70,4.43,4.54,1646700,45.400002
2017-02-21,4.27,4.52,4.24,4.50,1379900,45.000001
2017-02-17,4.58,4.65,4.36,4.40,1522900,44.000001
2017-02-16,4.32,4.81,4.31,4.36,2780600,43.599999
2017-02-15,4.06,4.33,4.00,4.32,2167400,43.200001
2017-02-14,4.45,4.46,4.06,4.07,1868700,40.700001
2017-02-13,4.59,4.62,4.42,4.45,1520100,44.500001
2017-02-10,4.80,4.83,4.69,4.76,1143500,47.599999
2017-02-09,5.07,5.09,4.82,4.92,1544500,49.200001
2017-02-08,5.20,5.33,5.07,5.13,1288900,51.30
2017-02-07,5.07,5.19,5.05,5.17,1197800,51.700002
2017-02-06,5.21,5.23,5.04,5.11,1243900,51.099999
2017-02-03,5.13,5.18,5.00,5.10,1459200,51.000001
2017-02-02,5.33,5.41,5.22,5.33,1305700,53.30
2017-02-01,5.21,5.37,5.11,5.24,1823300,52.400002
2017-01-31,5.58,5.77,5.42,5.44,2151500,54.400002
2017-01-30,5.41,5.93,5.41,5.49,2723500,54.900002
2017-01-27,5.28,5.38,5.16,5.21,1142400,52.099999
2017-01-26,5.29,5.43,5.20,5.32,1268800,53.200002
2017-01-25,5.35,5.42,5.21,5.26,1176100,52.599999
2017-01-24,5.95,5.96,5.46,5.52,1647500,55.200002
2017-01-23,6.22,6.43,6.09,6.10,1632800,61.000001
2017-01-20,6.57,6.62,6.19,6.21,1868100,62.099999
2017-01-19,6.50,6.83,6.45,6.72,1418100,67.199998
2017-01-18,6.52,6.64,6.38,6.57,1315300,65.699998
2017-01-17,6.85,6.90,6.57,6.64,1559100,66.400003
2017-01-13,6.58,6.82,6.48,6.67,1215900,66.699998
2017-01-12,6.76,7.31,6.63,6.65,2194000,66.500001
2017-01-11,6.96,7.22,6.61,6.65,1526900,66.500001
2017-01-10,6.91,7.16,6.78,6.92,903600,69.199998
2017-01-09,7.15,7.27,6.83,7.05,888300,70.500001
2017-01-06,7.12,7.25,6.79,7.08,1246900,70.800004
2017-01-05,7.46,7.72,7.25,7.27,944200,72.699998
2017-01-04,7.98,8.00,7.15,7.32,1080500,73.199998
2017-01-03,8.71,8.86,8.14,8.17,1160800,81.699998
2016-12-30,8.93,9.70,8.92,9.52,1332700,95.199998
2016-12-29,8.92,9.38,8.76,9.15,1070400,91.500001
2016-12-28,8.22,8.90,8.18,8.88,1212500,88.800004
2016-12-27,8.50,8.54,8.23,8.30,477800,83.000001
2016-12-23,8.69,8.80,8.51,8.55,523600,85.500001
2016-12-22,8.35,8.70,8.27,8.65,819800,86.500001
2016-12-21,8.54,8.58,8.32,8.37,691800,83.699998
2016-12-20,8.81,8.85,8.55,8.65,767900,86.500001
2016-12-19,9.43,9.45,8.96,8.99,872000,89.900003
2016-12-16,9.64,9.93,9.52,9.66,820300,96.60
2016-12-15,9.89,10.17,9.73,9.92,924800,99.199998
2016-12-14,10.37,10.45,9.60,10.20,1794100,102.000002
2016-12-13,10.02,10.60,9.96,10.28,999600,102.800005
